sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
2x872,2,872,2690,0.8,2188,2006,10849.1111111111,157222.666666667,53,66,2531,4049,683,1107,404,798,0,63,1971,17926,2x872,Lung5,fibroblast,stroma
2x873,2,873,3016,1.0,4287,2008,12948.1111111111,157224.666666667,63,63,1659,4705,16453,65240,262,8248,0,116,4759,21137,2x873,Lung5,tumor 5,tumor interior
2x874,2,874,3048,1.22,113,1999,8774.11111111111,157215.666666667,66,54,751,2843,469,14424,272,613,0,11,16482,43974,2x874,Lung5,fibroblast,stroma
2x875,2,875,3288,0.77,2982,1993,11643.1111111111,157209.666666667,59,77,4973,10484,788,2217,326,911,0,68,2987,24330,2x875,Lung5,endothelial,tumor-stroma boundary
2x876,2,876,5584,1.65,4059,1988,12720.1111111111,157204.666666667,130,79,3019,11727,29242,65278,349,749,0,172,2921,16443,2x876,Lung5,tumor 5,tumor interior
2x877,2,877,4509,0.58,2504,1983,11165.1111111111,157199.666666667,59,101,6136,16744,502,1034,317,830,0,51,4728,36861,2x877,Lung5,pDC,plasmablast-enriched stroma
2x878,2,878,8025,1.11,4326,1974,12987.1111111111,157190.666666667,124,112,3191,10686,31560,65285,342,776,0,324,2942,23077,2x878,Lung5,tumor 5,tumor interior
2x879,2,879,4918,1.18,1092,1993,9753.11111111111,157209.666666667,84,71,1663,10002,541,1169,274,661,3,557,7095,32899,2x879,Lung5,fibroblast,stroma
2x880,2,880,2805,0.98,1883,1997,10544.1111111111,157213.666666667,61,62,900,3051,415,1015,236,698,2,409,5180,18901,2x880,Lung5,fibroblast,stroma
2x881,2,881,4326,1.05,974,1976,9635.11111111111,157192.666666667,85,81,2327,5536,481,1040,260,777,0,38,9503,35348,2x881,Lung5,fibroblast,stroma
2x882,2,882,4959,0.71,1651,1968,10312.1111111111,157184.666666667,71,100,4084,10651,547,1213,409,1403,0,198,9321,52897,2x882,Lung5,plasmablast,stroma
2x883,2,883,4317,1.47,4961,1982,13622.1111111111,157198.666666667,97,66,6517,13080,1628,5497,229,737,20,1076,754,11452,2x883,Lung5,plasmablast,tumor interior
2x884,2,884,3177,1.02,5169,1990,13830.1111111111,157206.666666667,65,64,1575,4116,14393,49254,208,543,0,70,5467,18893,2x884,Lung5,tumor 5,tumor interior
2x885,2,885,4458,0.87,3504,1973,12165.1111111111,157189.666666667,78,90,3624,9745,51022,65217,455,909,15,869,5546,24318,2x885,Lung5,tumor 5,tumor interior
2x886,2,886,4436,1.03,374,1971,9035.11111111111,157187.666666667,80,78,2524,5127,521,15197,344,777,0,222,8133,34531,2x886,Lung5,macrophage,stroma
2x887,2,887,4838,1.2,4098,1969,12759.1111111111,157185.666666667,103,86,2270,4529,21299,61336,327,610,0,55,4531,26236,2x887,Lung5,tumor 5,tumor interior
2x888,2,888,2820,1.07,3185,1975,11846.1111111111,157191.666666667,79,74,6699,11477,48415,65209,483,1038,1,153,7066,39762,2x888,Lung5,mDC,tumor-stroma boundary
2x889,2,889,5694,0.62,3552,1950,12213.1111111111,157166.666666667,73,117,4107,10536,49881,65211,444,883,7,405,7102,27520,2x889,Lung5,tumor 5,tumor interior
2x890,2,890,6629,1.02,3609,1945,12270.1111111111,157161.666666667,126,123,3631,11293,42476,65219,432,1025,5,619,5595,24254,2x890,Lung5,tumor 5,tumor interior
2x891,2,891,3242,0.93,4563,1964,13224.1111111111,157180.666666667,70,75,4227,9100,20718,65227,325,755,0,148,3042,16653,2x891,Lung5,tumor 5,tumor interior
2x892,2,892,8021,1.21,4625,1950,13286.1111111111,157166.666666667,137,113,6474,12140,12144,65212,273,639,1,673,2517,27047,2x892,Lung5,tumor 5,tumor interior
2x893,2,893,3682,1.0,4766,1970,13427.1111111111,157186.666666667,72,72,2605,12414,1115,1783,314,786,7,705,12301,43137,2x893,Lung5,plasmablast,tumor interior
2x894,2,894,2605,0.89,3243,1964,11904.1111111111,157180.666666667,58,65,4094,8283,47088,65228,384,874,0,196,9491,30258,2x894,Lung5,tumor 5,tumor-stroma boundary
2x895,2,895,3085,1.79,4474,1976,13135.1111111111,157192.666666667,93,52,5341,11824,36816,65266,343,937,0,126,2884,18339,2x895,Lung5,tumor 5,tumor interior
2x896,2,896,6967,0.87,2321,1950,10982.1111111111,157166.666666667,90,104,1838,6664,476,1080,280,888,0,279,6504,31108,2x896,Lung5,endothelial,stroma
2x897,2,897,4867,1.24,2209,1958,10870.1111111111,157174.666666667,94,76,2871,10989,515,1199,464,2856,0,120,20203,56691,2x897,Lung5,B-cell,stroma
2x898,2,898,5909,1.39,749,1949,9410.11111111111,157165.666666667,114,82,3866,41221,597,1659,366,1091,3,242,3473,24144,2x898,Lung5,fibroblast,stroma
2x899,2,899,2887,0.91,2947,1955,11608.1111111111,157171.666666667,61,67,5438,12184,896,6262,364,795,0,135,3544,20394,2x899,Lung5,endothelial,tumor-stroma boundary
2x900,2,900,2801,1.11,4381,1955,13042.1111111111,157171.666666667,63,57,2948,8189,32654,65223,345,713,0,89,2573,15700,2x900,Lung5,tumor 5,tumor interior
2x901,2,901,3645,1.16,1553,1946,10214.1111111111,157162.666666667,74,64,1486,7017,411,977,336,1048,0,95,11722,38731,2x901,Lung5,mast,stroma
2x902,2,902,1838,1.21,1044,1956,9705.11111111111,157172.666666667,58,48,2453,7085,455,794,221,772,0,0,6265,25089,2x902,Lung5,plasmablast,stroma
2x903,2,903,3032,0.83,1272,1938,9933.11111111111,157154.666666667,60,72,3312,20398,703,1314,239,686,1,193,1087,18675,2x903,Lung5,pDC,stroma
2x904,2,904,2655,0.81,2676,1942,11337.1111111111,157158.666666667,52,64,4609,14368,567,2796,283,1142,0,263,12963,55915,2x904,Lung5,T CD4 naive,plasmablast-enriched stroma
2x905,2,905,2249,1.84,4500,1940,13161.1111111111,157156.666666667,79,43,3468,6078,22245,65216,346,655,0,74,4683,15286,2x905,Lung5,tumor 5,tumor interior
2x906,2,906,6030,0.88,3691,1911,12352.1111111111,157127.666666667,91,103,3178,9423,50034,65239,441,896,8,721,5546,26809,2x906,Lung5,tumor 5,tumor interior
2x907,2,907,2531,1.25,1051,1930,9712.11111111111,157146.666666667,69,55,3848,11375,544,997,305,1032,0,224,3308,21881,2x907,Lung5,pDC,stroma
2x908,2,908,3989,1.27,351,1923,9012.11111111111,157139.666666667,90,71,1951,4033,580,11748,325,828,0,61,11970,37205,2x908,Lung5,endothelial,stroma
2x909,2,909,5205,0.84,39,1910,8700.11111111111,157126.666666667,74,88,1758,4770,11596,44860,210,602,0,0,1187,12069,2x909,Lung5,neutrophil,stroma
2x910,2,910,5177,1.14,3342,1909,12003.1111111111,157125.666666667,92,81,6589,12839,40840,65178,688,2108,1,304,6842,40214,2x910,Lung5,tumor 5,tumor-stroma boundary
2x911,2,911,5814,0.9,110,1896,8771.11111111111,157112.666666667,83,92,1600,4195,653,4130,418,1369,0,49,12239,41500,2x911,Lung5,endothelial,stroma
